Condition,Comment,Station,Line,Date,Shift,Downtime,StartTime,DowntimeMinutes,EndTime
Ms,MS0320 Neues Fehlerbild/ Zentrierpin Shuttle defekt,Kontaktieren,E08Usv01-Vm,"20.07.2024, 07:00:00 ",Früh,01:00:00,2024-07-20 07:00:00+02:00,60.0,2024-07-20 08:00:00+02:00
R,RM0301 Rüstung Kontaktband,Kontaktieren,E08Usv01-Vm,"18.07.2024, 08:22:45 ",Früh,00:22:45,2024-07-18 08:22:45+02:00,22.75,2024-07-18 08:45:30+02:00
W,RM0303 Elektrodenwechsel,Kontaktieren,E08Usv01-Vm,"20.04.2024, 11:02:48 ",Früh,00:02:48,2024-04-20 11:02:48+02:00,2.8,2024-04-20 11:05:36+02:00
Ms,MS0928 Rütteltopf Ringe verklemmen in der Schiene Vereinzelung rechts,Ringmontage,E08Usv01-Em,"30.10.2024, 05:22:35 ",Nacht,00:07:35,2024-10-30 05:22:35+01:00,7.583333333333333,2024-10-30 05:30:09.999999998+01:00
Ms,MS0326 Drahtverlust,Kontaktieren,E08Usv01-Vm,"06.05.2024, 06:05:00 ",Früh,00:05:00,2024-05-06 06:05:00+02:00,5.0,2024-05-06 06:10:00+02:00
R,RM0302 Rüstung Lotpaste,Kontaktieren,E08Usv01-Vm,"02.09.2024, 11:08:51 ",Früh,00:08:51,2024-09-02 11:08:51+02:00,8.85,2024-09-02 11:17:42+02:00
Ms,MS0326 Drahtverlust,Kontaktieren,E08Usv01-Vm,"15.02.2024, 22:37:40 ",Spät,00:07:40,2024-02-15 22:37:40+01:00,7.666666666666667,2024-02-15 22:45:20.000000002+01:00
R,RM0303 Elektrodenwechsel,Kontaktieren,E08Usv01-Vm,"31.01.2025, 03:36:32 ",Nacht,00:06:32,2025-01-31 03:36:32+01:00,6.533333333333333,2025-01-31 03:43:03.999999998+01:00
R,RM0302 Rüstung Lotpaste,Kontaktieren,E08Usv01-Vm,"26.09.2024, 09:03:20 ",Früh,00:03:20,2024-09-26 09:03:20+02:00,3.3333333333333335,2024-09-26 09:06:39.999999998+02:00
W,WG0304 K1 Kontaktieren Elektrodenwechsel 1x pro Schicht 7 min,Kontaktieren,E08Usv01-Vm,"28.08.2024, 02:37:42 ",Nacht,00:07:42,2024-08-28 02:37:42+02:00,7.7,2024-08-28 02:45:24+02:00
Ms,MS0932 Ringe verklemmen in der Vereinzelung rechts -> n.i.O Abwurf,Ringmontage,E08Usv01-Em,"29.03.2024, 21:19:48 ",Spät,00:19:48,2024-03-29 21:19:48+01:00,19.8,2024-03-29 21:39:36+01:00
W,WU0902 Wartung Ringmontage ungeplant (WU),Ringmontage,E08Usv01-Em,"06.08.2024, 20:36:39 ",Spät,00:36:39,2024-08-06 20:36:39+02:00,36.65,2024-08-06 21:13:18+02:00
Ms,MS0337 Lötstelle n.i.o,Kontaktieren,E08Usv01-Vm,"25.03.2024, 01:37:30 ",Nacht,00:07:30,2024-03-25 01:37:30+01:00,7.5,2024-03-25 01:45:00+01:00
Ms,MS0304 Handling (Roboter / Greifer / Achssystem ...) Crash,Kontaktieren,E08Usv01-Vm,"17.03.2024, 18:09:09 ",Spät,00:09:09,2024-03-17 18:09:09+01:00,9.15,2024-03-17 18:18:18+01:00
Ms,MS0928 Rütteltopf Ringe verklemmen in der Schiene Vereinzelung rechts,Ringmontage,E08Usv01-Em,"27.02.2024, 21:27:33 ",Spät,00:27:33,2024-02-27 21:27:33+01:00,27.55,2024-02-27 21:55:06+01:00
Ms,MS0625 Leiterplatte schief im Schlitten,Pcb,E08Usv01-Vm,"13.02.2024, 10:43:59 ",Früh,00:43:59,2024-02-13 10:43:59+01:00,43.983333333333334,2024-02-13 11:27:57.999999998+01:00
Ms,MS0625 Leiterplatte schief im Schlitten,Pcb,E08Usv01-Vm,"27.08.2024, 01:39:18 ",Nacht,00:09:18,2024-08-27 01:39:18+02:00,9.3,2024-08-27 01:48:36+02:00
Ms,"MS0911 Pneumatik Problem (Druckluft, Schläuche, Zylinder...)",Ringmontage,E08Usv01-Em,"10.03.2024, 22:23:21 ",Spät,00:08:21,2024-03-10 22:23:21+01:00,8.35,2024-03-10 22:31:42+01:00
Ms,MS0303 DMC Code Verifikation n.i.O,Kontaktieren,E08Usv01-Vm,"20.04.2024, 14:00:00 ",Spät,00:15:00,2024-04-20 14:00:00+02:00,15.0,2024-04-20 14:15:00+02:00
W,RM0303 Elektrodenwechsel,Kontaktieren,E08Usv01-Vm,"29.05.2024, 08:10:00 ",Früh,00:10:00,2024-05-29 08:10:00+02:00,10.0,2024-05-29 08:20:00+02:00
Ms,MS0306 Handling - LSR Tray Crash gefahren,Kontaktieren,E08Usv01-Vm,"08.01.2024, 12:09:41 ",Früh,00:09:41,2024-01-08 12:09:41+01:00,9.683333333333334,2024-01-08 12:19:21.999999998+01:00
Ms,MS0925 Rütteltopf Ringe verklemmen an Übergang zu Vereinzelung links,Ringmontage,E08Usv01-Em,"28.01.2025, 04:40:57 ",Nacht,00:10:57,2025-01-28 04:40:57+01:00,10.95,2025-01-28 04:51:54+01:00
Ms,MS0932 Ringe verklemmen in der Vereinzelung rechts -> n.i.O Abwurf,Ringmontage,E08Usv01-Em,"31.05.2024, 10:24:09 ",Früh,00:24:09,2024-05-31 10:24:09+02:00,24.15,2024-05-31 10:48:18+02:00
Ms,MS0929 Ringe werden nicht korrekt auf Abholposition links positioniert,Ringmontage,E08Usv01-Em,"08.07.2024, 01:38:20 ",Nacht,00:08:20,2024-07-08 01:38:20+02:00,8.333333333333334,2024-07-08 01:46:39.999999998+02:00
Ms,"MS0618 WT Transportfehler (verklemmt, ...)",Pcb,E08Usv01-Vm,"20.10.2024, 22:39:08 ",Spät,00:09:08,2024-10-20 22:39:08+02:00,9.133333333333333,2024-10-20 22:48:15.999999998+02:00
Ms,MS0608 PLC (SPS) Ablauffehler,Pcb,E08Usv01-Vm,"19.02.2024, 20:05:46 ",Spät,00:05:46,2024-02-19 20:05:46+01:00,5.766666666666667,2024-02-19 20:11:32.000000002+01:00
Ms,MS0930 Ringe werden nicht korrekt auf Abholposition rechts positioniert,Ringmontage,E08Usv01-Em,"27.03.2024, 13:30:07 ",Früh,00:30:07,2024-03-27 13:30:07+01:00,30.116666666666667,2024-03-27 14:00:14.000000002+01:00
R,RM0302 Rüstung Lotpaste,Kontaktieren,E08Usv01-Vm,"07.03.2024, 01:33:20 ",Nacht,00:03:20,2024-03-07 01:33:20+01:00,3.3333333333333335,2024-03-07 01:36:39.999999998+01:00
R,RM0302 Rüstung Lotpaste,Kontaktieren,E08Usv01-Vm,"11.09.2024, 18:05:50 ",Spät,00:05:50,2024-09-11 18:05:50+02:00,5.833333333333333,2024-09-11 18:11:39.999999998+02:00
Ms,MS0931 Ringe verklemmen in der Vereinzelung links -> n.i.O Abwurf,Ringmontage,E08Usv01-Em,"05.07.2024, 06:07:21 ",Früh,00:07:21,2024-07-05 06:07:21+02:00,7.35,2024-07-05 06:14:42+02:00
Ms,MS0313 Reparatur STB,Kontaktieren,E08Usv01-Vm,"03.06.2024, 18:00:00 ",Spät,01:00:00,2024-06-03 18:00:00+02:00,60.0,2024-06-03 19:00:00+02:00
W,WG0306 K3 Kontaktieren 2 Shuttle Reinigung 3x pro Woche 20 min,Kontaktieren,E08Usv01-Vm,"17.10.2024, 14:00:00 ",Spät,00:15:00,2024-10-17 14:00:00+02:00,15.0,2024-10-17 14:15:00+02:00
Ms,MS0932 Ringe verklemmen in der Vereinzelung rechts -> n.i.O Abwurf,Ringmontage,E08Usv01-Em,"27.01.2024, 21:14:23 ",Spät,00:14:23,2024-01-27 21:14:23+01:00,14.383333333333333,2024-01-27 21:28:45.999999998+01:00
W,WG0304 K1 Kontaktieren Elektrodenwechsel 1x pro Schicht 7 min + Elektroden getauscht,Kontaktieren,E08Usv01-Vm,"14.03.2024, 18:07:00 ",Spät,00:07:00,2024-03-14 18:07:00+01:00,7.0,2024-03-14 18:14:00+01:00
Ms,MS0325 Drahtlage n.i.O,Kontaktieren,E08Usv01-Vm,"18.10.2024, 14:20:39 ",Spät,00:20:39,2024-10-18 14:20:39+02:00,20.65,2024-10-18 14:41:18+02:00
Ms,MS0608 PLC (SPS) Ablauffehler,Pcb,E08Usv01-Vm,"05.02.2024, 09:10:00 ",Früh,00:10:00,2024-02-05 09:10:00+01:00,10.0,2024-02-05 09:20:00+01:00
W,WG0304 K1 Kontaktieren Elektrodenwechsel 1x pro Schicht 7 min,Kontaktieren,E08Usv01-Vm,"11.04.2024, 10:07:00 ",Früh,00:07:00,2024-04-11 10:07:00+02:00,7.0,2024-04-11 10:14:00+02:00
Ms,MS0926 Rütteltopf Ringe verklemmen an Übergang zu Vereinzelung recht,Ringmontage,E08Usv01-Em,"25.01.2025, 07:16:24 ",Früh,00:16:24,2025-01-25 07:16:24+01:00,16.4,2025-01-25 07:32:48+01:00
W,RM0303 Elektrodenwechsel,Kontaktieren,E08Usv01-Vm,"16.09.2024, 23:36:40 ",Nacht,00:06:40,2024-09-16 23:36:40+02:00,6.666666666666667,2024-09-16 23:43:20.000000002+02:00
Ms,MS0324 Prüf-Softwarefehler,Kontaktieren,E08Usv01-Vm,"19.08.2024, 08:06:04 ",Früh,00:12:08,2024-08-19 08:06:04+02:00,12.133333333333333,2024-08-19 08:18:11.999999998+02:00
R,RM0302 Rüstung Lotpaste,Kontaktieren,E08Usv01-Vm,"03.02.2025, 18:12:03 ",Spät,00:12:03,2025-02-03 18:12:03+01:00,12.05,2025-02-03 18:24:06+01:00
W,WG0304 K1 Kontaktieren Elektrodenwechsel 1x pro Schicht 7 min,Kontaktieren,E08Usv01-Vm,"31.10.2024, 02:37:48 ",Nacht,00:07:48,2024-10-31 02:37:48+01:00,7.8,2024-10-31 02:45:36+01:00
Ms,MS0326 Drahtverlust,Kontaktieren,E08Usv01-Vm,"25.07.2024, 16:10:00 ",Spät,00:10:00,2024-07-25 16:10:00+02:00,10.0,2024-07-25 16:20:00+02:00
Ms,"MS0311 Pneumatik Problem (Druckluft, Schläuche, Zylinder...)",Kontaktieren,E08Usv01-Vm,"14.06.2024, 08:58:28 ",Früh,00:58:28,2024-06-14 08:58:28+02:00,58.46666666666667,2024-06-14 09:56:56.000000002+02:00
Ms,MS0306 Handling (Roboter / Greifer / Achssystem ...) Problem,Kontaktieren,E08Usv01-Vm,"27.05.2024, 14:00:00 ",Spät,00:15:00,2024-05-27 14:00:00+02:00,15.0,2024-05-27 14:15:00+02:00
Ms,MS0343 Stanze n.i.O. / Leiterplatten Winkel,Kontaktieren,E08Usv01-Vm,"17.01.2025, 19:20:25 ",Spät,00:20:25,2025-01-17 19:20:25+01:00,20.416666666666668,2025-01-17 19:40:50.000000002+01:00
W,WG0306 K3 Kontaktieren 2 Shuttle Reinigung 3x pro Woche 20 min,Kontaktieren,E08Usv01-Vm,"07.11.2024, 15:29:48 ",Spät,00:29:48,2024-11-07 15:29:48+01:00,29.8,2024-11-07 15:59:36+01:00
R,RM0301 Rüstung Kontaktband,Kontaktieren,E08Usv01-Vm,"02.03.2024, 10:15:57 ",Früh,00:15:57,2024-03-02 10:15:57+01:00,15.95,2024-03-02 10:31:54+01:00
Ms,MS0324 Prüf-Softwarefehler,Kontaktieren,E08Usv01-Vm,"25.09.2024, 07:07:19 ",Früh,00:07:19,2024-09-25 07:07:19+02:00,7.316666666666666,2024-09-25 07:14:38.000000002+02:00
Ms,MS0324 Prüf-Softwarefehler,Kontaktieren,E08Usv01-Vm,"15.07.2024, 17:03:41 ",Spät,00:03:41,2024-07-15 17:03:41+02:00,3.6833333333333336,2024-07-15 17:07:21.999999998+02:00
Ms,MS0926 Rütteltopf Ringe verklemmen an Übergang zu Vereinzelung recht,Ringmontage,E08Usv01-Em,"12.12.2024, 08:32:37 ",Früh,00:32:37,2024-12-12 08:32:37+01:00,32.61666666666667,2024-12-12 09:05:14.000000002+01:00
Ms,MS0624 Durchstiegskontrolle / Pin Check PCB,Pcb,E08Usv01-Vm,"18.02.2025, 11:06:50 ",Früh,00:06:50,2025-02-18 11:06:50+01:00,6.833333333333333,2025-02-18 11:13:39.999999998+01:00
Ms,MS0932 Ringe verklemmen in der Vereinzelung rechts -> n.i.O Abwurf,Ringmontage,E08Usv01-Em,"09.03.2024, 05:29:06 ",Nacht,00:14:06,2024-03-09 05:29:06+01:00,14.1,2024-03-09 05:43:12+01:00
Ms,MS0624 Durchstiegskontrolle / Pin Check PCB,Pcb,E08Usv01-Vm,"20.01.2025, 09:10:36 ",Früh,00:10:36,2025-01-20 09:10:36+01:00,10.6,2025-01-20 09:21:12+01:00
Ms,MS0928 Rütteltopf Ringe verklemmen in der Schiene Vereinzelung rechts,Ringmontage,E08Usv01-Em,"15.12.2024, 23:21:04 ",Nacht,01:06:04,2024-12-15 23:21:04+01:00,66.06666666666666,2024-12-16 00:27:08.000000002+01:00
Ms,MS0606 Handling (Roboter / Greifer / Achssystem ...) Problem,Pcb,E08Usv01-Vm,"26.01.2024, 18:08:22 ",Spät,00:08:22,2024-01-26 18:08:22+01:00,8.366666666666667,2024-01-26 18:16:44.000000002+01:00
Ms,MS0629 Prüf-Softwarefehler,Pcb,E08Usv01-Vm,"17.01.2024, 09:15:31 ",Früh,00:15:31,2024-01-17 09:15:31+01:00,15.516666666666667,2024-01-17 09:31:02.000000002+01:00
Ms,MS0625 Leiterplatte schief im Schlitten,Pcb,E08Usv01-Vm,"28.01.2024, 05:26:40 ",Nacht,00:11:40,2024-01-28 05:26:40+01:00,11.666666666666666,2024-01-28 05:38:20.000000002+01:00
Ms,MS0326 Drahtverlust,Kontaktieren,E08Usv01-Vm,"29.08.2024, 17:05:07 ",Spät,00:05:07,2024-08-29 17:05:07+02:00,5.116666666666666,2024-08-29 17:10:14.000000002+02:00
W,WG0301 Stanze ausgebaut und gereinigt,Kontaktieren,E08Usv01-Vm,"11.02.2024, 13:44:14 ",Früh,00:44:14,2024-02-11 13:44:14+01:00,44.233333333333334,2024-02-11 14:28:27.999999998+01:00
Ms,MS0925 Rütteltopf Ringe verklemmen an Übergang zu Vereinzelung links,Ringmontage,E08Usv01-Em,"16.01.2025, 22:04:49 ",Spät,00:04:49,2025-01-16 22:04:49+01:00,4.816666666666666,2025-01-16 22:09:38.000000002+01:00
Ms,MS0926 Rütteltopf Ringe verklemmen an Übergang zu Vereinzelung recht,Ringmontage,E08Usv01-Em,"20.02.2024, 07:11:07 ",Früh,00:11:07,2024-02-20 07:11:07+01:00,11.116666666666667,2024-02-20 07:22:14.000000002+01:00
Ms,MS0306 Handling (Roboter / Greifer / Achssystem ...) Problem,Kontaktieren,E08Usv01-Vm,"20.03.2024, 11:11:26 ",Früh,00:11:26,2024-03-20 11:11:26+01:00,11.433333333333334,2024-03-20 11:22:51.999999998+01:00
Ms,MS0344 Stanze n.i.O. / Kantaktband vertaktet oder Vorschub n.i.O.,Kontaktieren,E08Usv01-Vm,"19.12.2024, 10:15:00 ",Früh,00:15:00,2024-12-19 10:15:00+01:00,15.0,2024-12-19 10:30:00+01:00
Ms,MS0925 Rütteltopf Ringe verklemmen an Übergang zu Vereinzelung links,Ringmontage,E08Usv01-Em,"27.01.2025, 23:42:28 ",Nacht,00:12:28,2025-01-27 23:42:28+01:00,12.466666666666667,2025-01-27 23:54:56.000000002+01:00
Ms,MS0604 Handling (Roboter / Greifer / Achssystem ...) Crash,Pcb,E08Usv01-Vm,"21.09.2024, 08:20:44 ",Früh,00:20:44,2024-09-21 08:20:44+02:00,20.733333333333334,2024-09-21 08:41:27.999999998+02:00
W,MS0338 Drahtzufuhr 2 n.i.O,Kontaktieren,E08Usv01-Vm,"01.07.2024, 20:06:42 ",Spät,00:06:42,2024-07-01 20:06:42+02:00,6.7,2024-07-01 20:13:24+02:00
Ms,MS0625 Leiterplatte schief im Schlitten,Pcb,E08Usv01-Vm,"24.02.2024, 08:08:20 ",Früh,00:08:20,2024-02-24 08:08:20+01:00,8.333333333333334,2024-02-24 08:16:39.999999998+01:00
Ms,MS0608 PLC (SPS) Ablauffehler,Pcb,E08Usv01-Vm,"14.02.2024, 21:00:00 ",Spät,01:00:00,2024-02-14 21:00:00+01:00,60.0,2024-02-14 22:00:00+01:00
W,WG0306 K3 Kontaktieren 2 Shuttle Reinigung 3x pro Woche 20 min,Kontaktieren,E08Usv01-Vm,"06.09.2024, 06:23:45 ",Früh,00:23:45,2024-09-06 06:23:45+02:00,23.75,2024-09-06 06:47:30+02:00
W,WG0304 K1 Kontaktieren Elektrodenwechsel 1x pro Schicht 7 min,Kontaktieren,E08Usv01-Vm,"13.04.2024, 07:07:30 ",Früh,00:07:30,2024-04-13 07:07:30+02:00,7.5,2024-04-13 07:15:00+02:00
Ms,MS0325 Drahtlage n.i.O,Kontaktieren,E08Usv01-Vm,"04.06.2024, 22:54:18 ",Spät,00:24:18,2024-06-04 22:54:18+02:00,24.3,2024-06-04 23:18:36+02:00
R,RM0302 Rüstung Lotpaste,Kontaktieren,E08Usv01-Vm,"20.03.2024, 10:03:20 ",Früh,00:03:20,2024-03-20 10:03:20+01:00,3.3333333333333335,2024-03-20 10:06:39.999999998+01:00
Ms,MS0932 Ringe verklemmen in der Vereinzelung rechts -> n.i.O Abwurf,Ringmontage,E08Usv01-Em,"02.12.2024, 12:09:34 ",Früh,00:09:34,2024-12-02 12:09:34+01:00,9.566666666666666,2024-12-02 12:19:08.000000002+01:00
R,RM0303 Elektrodenwechsel,Kontaktieren,E08Usv01-Vm,"03.02.2025, 06:17:44 ",Früh,00:17:44,2025-02-03 06:17:44+01:00,17.733333333333334,2025-02-03 06:35:27.999999998+01:00
W,WU0902 Wartung Ringmontage ungeplant (WU),Ringmontage,E08Usv01-Em,"22.10.2024, 22:52:14 ",Spät,00:37:14,2024-10-22 22:52:14+02:00,37.233333333333334,2024-10-22 23:29:27.999999998+02:00
Ms,MS0930 Ringe werden nicht korrekt auf Abholposition rechts positioniert,Ringmontage,E08Usv01-Em,"23.08.2024, 12:07:12 ",Früh,00:07:12,2024-08-23 12:07:12+02:00,7.2,2024-08-23 12:14:24+02:00
Ms,MS0337 Lötstelle n.i.o  --  Signal,Kontaktieren,E08Usv01-Vm,"02.10.2024, 03:11:18 ",Nacht,00:41:18,2024-10-02 03:11:18+02:00,41.3,2024-10-02 03:52:36+02:00
R,MS0601 Taktzeit wird nicht erreicht,Pcb,E08Usv01-Vm,"29.01.2025, 09:09:19 ",Früh,00:09:19,2025-01-29 09:09:19+01:00,9.316666666666666,2025-01-29 09:18:38.000000002+01:00
Ms,MS0926 Rütteltopf Ringe verklemmen an Übergang zu Vereinzelung recht,Ringmontage,E08Usv01-Em,"19.12.2024, 09:07:12 ",Früh,00:07:12,2024-12-19 09:07:12+01:00,7.2,2024-12-19 09:14:24+01:00
Ms,MS0325 Drahtlage n.i.O,Kontaktieren,E08Usv01-Vm,"05.12.2024, 03:17:02 ",Nacht,00:47:02,2024-12-05 03:17:02+01:00,47.03333333333333,2024-12-05 04:04:03.999999997+01:00
W,WG0304 K1 Kontaktieren Elektrodenwechsel 1x pro Schicht 7 min,Kontaktieren,E08Usv01-Vm,"19.06.2024, 02:37:00 ",Nacht,00:07:00,2024-06-19 02:37:00+02:00,7.0,2024-06-19 02:44:00+02:00
Ms,MS0926 Rütteltopf Ringe verklemmen an Übergang zu Vereinzelung recht,Ringmontage,E08Usv01-Em,"05.12.2024, 15:08:05 ",Spät,00:08:05,2024-12-05 15:08:05+01:00,8.083333333333334,2024-12-05 15:16:09.999999998+01:00
Ms,MS0304 Handling (Roboter / Greifer / Achssystem ...) Crash,Kontaktieren,E08Usv01-Vm,"08.01.2024, 17:15:31 ",Spät,00:15:31,2024-01-08 17:15:31+01:00,15.516666666666667,2024-01-08 17:31:02.000000002+01:00
Ms,MS0930 Ringe werden nicht korrekt auf Abholposition rechts positioniert,Ringmontage,E08Usv01-Em,"12.04.2024, 03:40:24 ",Nacht,00:10:24,2024-04-12 03:40:24+02:00,10.4,2024-04-12 03:50:48+02:00
W,WU0902 Wartung Ringmontage ungeplant (WU),Ringmontage,E08Usv01-Em,"27.08.2024, 11:19:18 ",Früh,00:19:18,2024-08-27 11:19:18+02:00,19.3,2024-08-27 11:38:36+02:00
Ms,MS0932 Ringe verklemmen in der Vereinzelung rechts -> n.i.O Abwurf,Ringmontage,E08Usv01-Em,"22.01.2025, 18:15:28 ",Spät,00:15:28,2025-01-22 18:15:28+01:00,15.466666666666667,2025-01-22 18:30:56.000000002+01:00
R,RM0301 Rüstung Kontaktband,Kontaktieren,E08Usv01-Vm,"26.07.2024, 05:28:20 ",Nacht,00:13:20,2024-07-26 05:28:20+02:00,13.333333333333334,2024-07-26 05:41:39.999999998+02:00
W,RM0303 Elektrodenwechsel,Kontaktieren,E08Usv01-Vm,"15.06.2024, 15:13:40 ",Spät,00:13:40,2024-06-15 15:13:40+02:00,13.666666666666666,2024-06-15 15:27:20.000000002+02:00
W,WG0301 Stanze ausgebaut und gereinigt,Kontaktieren,E08Usv01-Vm,"23.02.2024, 10:55:37 ",Früh,00:55:37,2024-02-23 10:55:37+01:00,55.61666666666667,2024-02-23 11:51:14.000000002+01:00
R,RM0301 Rüstung Kontaktband,Kontaktieren,E08Usv01-Vm,"05.03.2024, 22:35:00 ",Spät,00:05:00,2024-03-05 22:35:00+01:00,5.0,2024-03-05 22:40:00+01:00
Ms,MS0608 PLC (SPS) Ablauffehler,Pcb,E08Usv01-Vm,"11.03.2024, 21:41:40 ",Spät,00:41:40,2024-03-11 21:41:40+01:00,41.666666666666664,2024-03-11 22:23:20.000000002+01:00
