[2025-05-14 21:56:21,383] [INFO] [<frozen importlib] - Successfully loaded config from configs/feature_selection.yaml
[2025-05-14 21:56:23,751] [INFO] [<frozen importlib] - Added missing column 'celTemp_range' with 0 values for ring
[2025-05-14 21:56:23,752] [INFO] [<frozen importlib] - Added missing column 'airDruck_std' with 0 values for ring
[2025-05-14 21:56:24,834] [INFO] [<frozen importlib] - Added missing column 'airDruck_diff_mean' with 0 values for contact
[2025-05-14 21:56:24,835] [INFO] [<frozen importlib] - Added missing column 'celHum_mean' with 0 values for contact
[2025-05-14 21:56:24,835] [INFO] [<frozen importlib] - Added missing column 'airDruck_trend_slope' with 0 values for contact
[2025-05-14 21:56:24,836] [INFO] [<frozen importlib] - Added missing column 'celHum_spike_count' with 0 values for contact
[2025-05-14 21:56:24,836] [INFO] [<frozen importlib] - Added missing column 'aPowerFactorPF_L1_ks_test_statistic' with 0 values for contact
[2025-05-14 21:56:24,837] [INFO] [<frozen importlib] - Added missing column 'airDruck_abs_energy' with 0 values for contact
[2025-05-14 21:56:24,837] [INFO] [<frozen importlib] - Added missing column 'celHum_skew' with 0 values for contact
[2025-05-14 21:56:24,838] [INFO] [<frozen importlib] - Added missing column 'celTemp_trend_slope' with 0 values for contact
[2025-05-14 21:56:24,839] [INFO] [<frozen importlib] - Added missing column 'airDruck_spike_count' with 0 values for contact
[2025-05-14 21:56:24,839] [INFO] [<frozen importlib] - Added missing column 'aPowerFactorPF_L1_z_score' with 0 values for contact
[2025-05-14 21:56:24,840] [INFO] [<frozen importlib] - Added missing column 'celTemp_z_score' with 0 values for contact
[2025-05-14 21:56:24,840] [INFO] [<frozen importlib] - Added missing column 'celHum_diff_std' with 0 values for contact
[2025-05-14 21:56:24,841] [INFO] [<frozen importlib] - Added missing column 'aPowerFactorPF_L1_trend_slope' with 0 values for contact
[2025-05-14 21:56:24,841] [INFO] [<frozen importlib] - Added missing column 'aPowerFactorPF_L1_range' with 0 values for contact
[2025-05-14 21:56:24,842] [INFO] [<frozen importlib] - Added missing column 'aPowerFactorPF_L1_change_point_score' with 0 values for contact
[2025-05-14 21:56:24,842] [INFO] [<frozen importlib] - Added missing column 'celHum_ks_test_statistic' with 0 values for contact
[2025-05-14 21:56:24,843] [INFO] [<frozen importlib] - Added missing column 'celHum_change_point_score' with 0 values for contact
[2025-05-14 21:56:24,843] [INFO] [<frozen importlib] - Added missing column 'celTemp_abs_energy' with 0 values for contact
[2025-05-14 21:56:24,844] [INFO] [<frozen importlib] - Added missing column 'celTemp_change_point_score' with 0 values for contact
[2025-05-14 21:56:24,844] [INFO] [<frozen importlib] - Added missing column 'celTemp_spike_count' with 0 values for contact
[2025-05-14 21:56:24,845] [INFO] [<frozen importlib] - Added missing column 'celTemp_ks_test_statistic' with 0 values for contact
[2025-05-14 21:56:24,845] [INFO] [<frozen importlib] - Added missing column 'airDruck_change_point_score' with 0 values for contact
[2025-05-14 21:56:24,846] [INFO] [<frozen importlib] - Added missing column 'celHum_trend_slope' with 0 values for contact
[2025-05-14 21:56:24,846] [INFO] [<frozen importlib] - Added missing column 'airDruck_mean' with 0 values for contact
[2025-05-14 21:56:24,847] [INFO] [<frozen importlib] - Added missing column 'airDruck_range' with 0 values for contact
[2025-05-14 21:56:24,847] [INFO] [<frozen importlib] - Added missing column 'celHum_abs_energy' with 0 values for contact
[2025-05-14 21:56:24,848] [INFO] [<frozen importlib] - Added missing column 'celTemp_diff_std' with 0 values for contact
[2025-05-14 21:56:24,848] [INFO] [<frozen importlib] - Added missing column 'airDruck_ks_test_statistic' with 0 values for contact
[2025-05-14 21:56:24,849] [INFO] [<frozen importlib] - Added missing column 'aPowerFactorPF_L1_min' with 0 values for contact
[2025-05-14 21:56:24,849] [INFO] [<frozen importlib] - Added missing column 'celHum_min' with 0 values for contact
[2025-05-14 21:56:24,850] [INFO] [<frozen importlib] - Added missing column 'celTemp_min' with 0 values for contact
[2025-05-14 21:56:24,850] [INFO] [<frozen importlib] - Added missing column 'airDruck_z_score' with 0 values for contact
[2025-05-14 21:56:24,851] [INFO] [<frozen importlib] - Added missing column 'aPowerFactorPF_L1_diff_mean' with 0 values for contact
[2025-05-14 21:56:24,851] [INFO] [<frozen importlib] - Added missing column 'aPowerFactorPF_L1_max' with 0 values for contact
[2025-05-14 21:56:24,852] [INFO] [<frozen importlib] - Added missing column 'aPowerFactorPF_L1_mean' with 0 values for contact
[2025-05-14 21:56:24,852] [INFO] [<frozen importlib] - Added missing column 'celHum_z_score' with 0 values for contact
[2025-05-14 21:56:24,853] [INFO] [<frozen importlib] - Added missing column 'celHum_diff_mean' with 0 values for contact
[2025-05-14 21:56:24,853] [INFO] [<frozen importlib] - Added missing column 'aPowerFactorPF_L1_spike_count' with 0 values for contact
[2025-05-14 21:56:24,854] [INFO] [<frozen importlib] - Added missing column 'aPowerFactorPF_L1_diff_std' with 0 values for contact
[2025-05-14 21:56:24,855] [INFO] [<frozen importlib] - Added missing column 'aPowerFactorPF_L1_skew' with 0 values for contact
[2025-05-14 21:56:24,855] [INFO] [<frozen importlib] - Added missing column 'airDruck_min' with 0 values for contact
[2025-05-14 21:56:24,856] [INFO] [<frozen importlib] - Added missing column 'celTemp_std' with 0 values for contact
[2025-05-14 21:56:24,856] [INFO] [<frozen importlib] - Added missing column 'celHum_range' with 0 values for contact
[2025-05-14 21:56:24,857] [INFO] [<frozen importlib] - Added missing column 'celHum_std' with 0 values for contact
[2025-05-14 21:56:24,857] [INFO] [<frozen importlib] - Added missing column 'celTemp_mean' with 0 values for contact
[2025-05-14 21:56:24,858] [INFO] [<frozen importlib] - Added missing column 'airDruck_max' with 0 values for contact
[2025-05-14 21:56:24,858] [INFO] [<frozen importlib] - Added missing column 'airDruck_diff_std' with 0 values for contact
[2025-05-14 21:56:24,859] [INFO] [<frozen importlib] - Added missing column 'aPowerFactorPF_L1_abs_energy' with 0 values for contact
[2025-05-14 21:56:24,859] [INFO] [<frozen importlib] - Added missing column 'airDruck_skew' with 0 values for contact
[2025-05-14 21:56:24,860] [INFO] [<frozen importlib] - Added missing column 'celTemp_skew' with 0 values for contact
[2025-05-14 21:56:24,860] [INFO] [<frozen importlib] - Added missing column 'aPowerFactorPF_L1_std' with 0 values for contact
[2025-05-14 21:56:24,861] [INFO] [<frozen importlib] - Added missing column 'celTemp_diff_mean' with 0 values for contact
[2025-05-14 21:56:24,861] [INFO] [<frozen importlib] - Added missing column 'celTemp_max' with 0 values for contact
[2025-05-14 21:56:24,862] [INFO] [<frozen importlib] - Added missing column 'celHum_max' with 0 values for contact
[2025-05-14 21:56:24,862] [INFO] [<frozen importlib] - Added missing column 'celTemp_range' with 0 values for contact
[2025-05-14 21:56:24,863] [INFO] [<frozen importlib] - Added missing column 'airDruck_std' with 0 values for contact
[2025-05-14 21:56:31,827] [INFO] [<frozen importlib] - Merged 437 features from all components
[2025-05-14 21:56:46,959] [INFO] [<frozen importlib] - Saved merged dataset with shape (2366770, 443)
[2025-05-14 21:56:46,971] [INFO] [<frozen importlib] - Saved analysis report to experiments/reports/featureMergen.md
[2025-05-14 21:56:46,971] [INFO] [<frozen importlib] - Overall anomaly rate: 27.34%
